text,label
i live in philadelphia pa and i m pretty sure if he said you were just under and drove you home he was feeling sympathetic and if he was going to ticket you he would have right then and there,2
i am feeling a bit overwhelmed tired anxious etc,5
i am really looking forward to feel like in europe again although somehow i m fond of this place,2
i feel like a horrible rotten person for thinking that this is the most isolating thing a woman can go through and some days being tough is not an option,0
the time when my sister had her first baby i was so happy and joyous because she stayed for two days after marriage before she had a child,1
i wish i have the feeling back soon cause now i realise how lonely when i dont have the feeling its like soo unwanted even when i am not,0
i don t feel special and when i feel alone in this busy ever moving world,1
i visit cantina i leave feeling that the food is lovely but not always worth the price,2
i am still glad to help when someone asks makes me feel complacent at least i am good at something,1
i feel that i no longer have to do things to look cool,1
i am feeling shaky all day too,4
i was feeling stressed we were all like coiled springs and it wasnt going to end well,0
i feel more lively,1
i feel that s the one thing i ve enjoyed about tv people have the time to be shocked over kenny powers and then you have time to let go of it and love him later on,5
i was pleasantly surprised to read that i was just as susceptible to falling under dessen s romance spell but other parts of the novel did feel like missed opportunities,0
i use it regularly with relaxing music and always feel invigorated afterward,1
i have found this site to be a huge help to keep my in the moment when im feeling stressed or missing drinking,0
i still have no idea whats up with me but now i feel determined to enjoy the day no matter what,1
i feeling distressed,4
i feel numb the way a wound does before it really starts to hurt,0
i honestly feel rejected,0
i visited her this morning they had her up on her feet and she was sounding quite cheerful so im feeling very pleased,1
i left for work feeling still unpleasant and cheered up a mite bit once i got there,0
i feel content with it all,1
i went to bed late last night and feel sort of groggy this morning,0
im feeling hideously guily and somewhat naughty doing this in work time,2
i came back from the holidays feeling invigorated and inspired,1
i feel slightly emotional watching it,0
i understand the feeling so i wouldnt be shocked,5
i feel in a total partnership with him and that is precious,1
i was made to feel that i was damaged and not good or giving enough when in reality nothing is ever enough,0
im feeling the fight as i struggle with feelings that im sure are not right,1
i was measuring a week big and that was enough to just make me feel lousy about myself,0
i just feel really irritable and everything drives me insane,3
i wasnt feeling casual much,1
i concentrated on the smell i started feeling it and knew it was the nostalgic aroma of my grand mother s home back in bhubaneswar orissa,2
i am feeling really weepy today i am sure i will feel better tomorrow xxx,0
i am going to post my training schedule for the next several months right here so i can refer easily to it or if anyone feel like supporting me and joining me in this,1
i may be smitten or shy and i might even bat my eyelashes a few times and smile because i just cant help but feel charmed by you,1
i have feeling this is fake,0
i simply dont want to and it makes me so mad because i want to be able to share these things with you but i feel like were so emotionally far apart now and it makes me mad and makes me unable to go to you,3
i keep in the fridge and take out whenever i feel too hot spray on my face and it cools me down immediately let alone it smells like oranges,2
