text,true,pred
i feel if i completely hated things i d exercise my democratic right speak my mind in what ever ways possible and try to enact a change,anger,sadness
i feel a bit stressed even though all the things i have going on are fun,anger,sadness
i feel like i am in paradise kissing those sweet lips make me feel like i dive into a magical world of love,joy,love
i was feeling weird the other day and it went away about minutes after i took my metformin,fear,surprise
when a friend dropped a frog down my neck,anger,fear
i feel my heart is tortured by what i have done,anger,fear
i looked at mabel this morning i named my left breast mabel my right one is hazel and i feel this weird mixture of anger and loss valerie wrote less than a month after her diagnosis,fear,surprise
i feel very mislead by someone that i really really thought i knew and liked very much so,love,sadness
i actually feel agitated which led to a terrible day yesterday in which i was unable to concentrate on anything and basically piddled the day away,anger,fear
im feeling rather angsty and listless,sadness,joy
i was so uncomfortable and feeling weird feelings but wasn t sure if they were contractions since i never really felt contractions with jared until they jacked me up with pitocin,surprise,fear
i feel blessed to know this family,love,joy
i feel kinda weird when andrea tries to talk to me about chris,fear,surprise
i really dont like quinn because i feel like she will just end up hurting barney and i hated the lame ted robin storyline,anger,sadness
i will practice meditation if i feel overwhelmed and hopefully become successful in peaceful practice,surprise,joy
i hope everyone can help with charity work without feeling stressed about such things,sadness,anger
i feel blessed beyond blessed to share my life with you each week,love,joy
i realized what i am passionate about helping women feel accepted and appreciated,joy,love
i feel so blessed and honored that we get to be its parents,love,joy
i figured my parents wont make me feel accepted so i stopped trying i turned to romantic relationships with men,love,joy
i just feel are ludicrous and wasting space or so trite they should have looked at the book first and come up with something a little more original,surprise,sadness
i was so impressed with the show especially for hs and i was moved by these talented kids but then again i feel very passionate about productions and music and theatre in schools so i am always happy to endorse many hs productions throughout their seasons during this time,love,joy
i feel like i should be supporting them somehow but im not sure how,joy,love
i took for granted a few weeks ago is really weird and makes me feel really agitated and frustrated,anger,fear
i will nolonger tell anybody how i feel or what im thinking cause all it seems to do is get me more hated than i already am,sadness,anger
